side,row,shift,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
front,1,0.5,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07
front,0,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
back,25,0.5,0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0,0,0,0
back,24,0.0,0,0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0,0,0,0
back,23,0.5,0,0,0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0,0,0,0
back,22,0.0,0,0,0,0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0,0,0,0
back,21,0.5,0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0,0,0,0
back,20,0.0,0,0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0,0,0,0
back,19,0.5,0,0,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0,0,0
back,18,0.0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0,0
back,17,0.5,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0
back,16,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
back,15,0.5,0,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0
back,14,0.0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05
back,13,0.5,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0
back,12,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
back,11,0.5,0,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0
back,10,0.0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05
back,9,0.5,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0
back,8,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
back,7,0.5,0,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0
back,6,0.0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05
back,5,0.5,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0
back,4,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
back,3,0.5,0,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0
back,2,0.0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05
back,1,0.5,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0
back,0,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
